BUS_SERVICE_NAME_TXT,OPR_DESC_TXT,ORIG_DEST_TXT,BUS_DIRCTN_TXT,BUS_ROUTE_SEQ_NUM,BUS_STOP_CD,BUS_STOP_DESC_TXT,RD_NAM_TXT,LONGTD_TXT,LATTD_TXT,OP_HR_TXT,FARE_TXT,CONTACT_TXT
PBS between Grande Vista and Yio Chu Kang & Ang Mo Kio MRT Stations,The Management Corporation Strata Title Plan No. 1895,Cactus Drive - Ang Mo Kio Avenue 8,1,1,-,Grande Vista Condomium ,Cactus Drive,103.852418,1.388806000,From 6.45am to 8.00pm / Peak: 30 min; Off-peak: 60 min (Daily),"$2.00 per adult per trip; $1.20 per senior
citizen per trip; $1.50 per child/ student per trip",Nil
PBS between Grande Vista and Yio Chu Kang & Ang Mo Kio MRT Stations,The Management Corporation Strata Title Plan No. 1895,Cactus Drive - Ang Mo Kio Avenue 8,1,2,-,Passenger pick-up point at Yio Chu Kang MRT Station ,Ang Mo Kio Avenue 6,103.844916,1.375517000,From 6.45am to 8.00pm / Peak: 30 min; Off-peak: 60 min (Daily),"$2.00 per adult per trip; $1.20 per senior
citizen per trip; $1.50 per child/ student per trip",Nil
PBS between Grande Vista and Yio Chu Kang & Ang Mo Kio MRT Stations,The Management Corporation Strata Title Plan No. 1895,Cactus Drive - Ang Mo Kio Avenue 8,1,3,54399,Opp Blk 710,Ang Mo Kio Avenue 8,103.8486611,1.371373023,From 6.45am to 8.00pm / Peak: 30 min; Off-peak: 60 min (Daily),"$2.00 per adult per trip; $1.20 per senior
citizen per trip; $1.50 per child/ student per trip",Nil
PBS between Grande Vista and Yio Chu Kang & Ang Mo Kio MRT Stations,The Management Corporation Strata Title Plan No. 1895,Cactus Drive - Ang Mo Kio Avenue 8,1,4,-,Grande Vista Condomium ,Cactus Drive,103.852418,1.388806000,From 6.45am to 8.00pm / Peak: 30 min; Off-peak: 60 min (Daily),"$2.00 per adult per trip; $1.20 per senior
citizen per trip; $1.50 per child/ student per trip",Nil
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,1,2,-,Outside Costa Rhu Condo,Rhu Cross,103.86759,1.296640000,Six trips from 8.00am to 9.40am / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,1,3,-,Outside No. 130-136 Pebble Bay Condo,Tanjong Rhu Road,103.87048,1.297160000,Six trips from 8.00am to 9.40am / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,1,4,-,Outside Pebble Bay Condo,Tanjong Rhu Road,103.87131,1.297190000,Six trips from 8.00am to 9.40am / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,1,5,-,Outside Camelot Condo,Tanjong Rhu Road,103.87545,1.297280000,Six trips from 8.00am to 9.40am / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,1,6,-,Outside Dunman High School,Tanjong Rhu Road,103.88203,1.298020000,Six trips from 8.00am to 9.40am / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,1,7,3111,Aft Capital Tower,Robinson Road,103.8481012,1.277825954,Six trips from 8.00am to 9.40am / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,1,8,-,GMG Building,Robinson Road,103.84915,1.279450000,Six trips from 8.00am to 9.40am / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
PBS between Tanjong Rhu and Suntec/ Raffles Place,ComfortDelGro Bus Pte Ltd,Rhu Cross/ Tanjong Rhu Road - Suntec City/ Raffles Place ,1,9,3011,Fullerton Square,Fullerton Road,103.853336,1.285597589,Six trips from 8.00am to 9.40am / 20 min,$5.00,"Email: enquiry@comfortdelgrobus.com.sg
Tel: 6553 3838
Fax: 6456 0922
Address: 205 Braddell Road S(579701) "
